Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,biotype
ENSG00000000003,57.24084833181938,0.003556184952665916,0.3670879010802722,0.009687556964423827,0.9922705687659664,0.9994121112487975,TSPAN6,protein_coding
ENSG00000000419,442.4527200668632,0.13187457342344935,0.17276696283240836,0.7633089756365837,0.44527915043767885,0.9991743358666302,DPM1,protein_coding
ENSG00000000457,1366.7803692977282,-0.03567735877318978,0.08778300885659103,-0.40642670190850966,0.6844291034541752,0.9991743358666302,SCYL3,protein_coding
ENSG00000000460,335.71899144210386,-0.1470046597186098,0.16960090034343833,-0.8667681564244551,0.3860690529407078,0.9991743358666302,C1orf112,protein_coding
ENSG00000000938,416.02880523465456,-1.5645659641727625,0.2988711152216051,-5.234918613706373,1.6505757718429144e-07,0.0005925842116878036,FGR,protein_coding
ENSG00000000971,432.81874671757055,-0.19815145952704427,0.5578855285368061,-0.3551830068916573,0.7224524944019133,0.9991743358666302,CFH,protein_coding
ENSG00000001036,201.01099744728398,-0.3403529277048725,0.15005989262827374,-2.2681138960161062,0.023322265624240335,0.7115136276521945,FUCA2,protein_coding
ENSG00000001084,853.6214081943914,0.020905819795854146,0.12283045195248546,0.17020062585083665,0.8648523595428502,0.9991743358666302,GCLC,protein_coding
ENSG00000001167,2018.7215133502968,0.06208186766390286,0.0845129952244216,0.7345836873849567,0.46259307569826424,0.9991743358666302,NFYA,protein_coding
ENSG00000001460,229.57070140510064,0.16077105497454383,0.20575855953020314,0.7813577979046085,0.43459208497841784,0.9991743358666302,STPG1,protein_coding
ENSG00000001461,5178.76940180596,0.12050543059629566,0.09441821295754317,1.2762943379418024,0.20185149095698107,0.9991743358666302,NIPAL3,protein_coding
ENSG00000001497,1202.5381848087472,0.037640631486305275,0.10613704502239923,0.354641788626785,0.722857965613513,0.9991743358666302,LAS1L,protein_coding
ENSG00000001561,750.5247201774835,0.08478124729543672,0.11778941968709529,0.7197696322866352,0.47166684530272085,0.9991743358666302,ENPP4,protein_coding
ENSG00000001629,2924.4712518461192,0.09526808007764608,0.10097634573877037,0.9434692786774855,0.345440921950099,0.9991743358666302,ANKIB1,protein_coding
ENSG00000001630,581.5473118888704,0.06232824337627062,0.15212701550562882,0.4097118658977729,0.6820173246370287,0.9991743358666302,CYP51A1,protein_coding
ENSG00000001631,1613.5774666712641,0.0734959689988448,0.08165061621333057,0.9001275484170269,0.3680523770846671,0.9991743358666302,KRIT1,protein_coding
ENSG00000002016,494.48340782762295,0.07665194580670272,0.1640343795881137,0.46729195427918147,0.6402910120138765,0.9991743358666302,RAD52,protein_coding
ENSG00000002330,337.29218624811506,-0.07506311435961596,0.13898705390849614,-0.5400727064049772,0.5891468924612188,0.9991743358666302,BAD,protein_coding
ENSG00000002549,703.3192122780508,-0.08430456467554331,0.12367617341270445,-0.681655668583964,0.4954567054444081,0.9991743358666302,LAP3,protein_coding
ENSG00000002586,4060.2827675593944,-0.3729047868391911,0.12211871485547934,-3.0536252144522074,0.002260943460699817,0.2646901254724715,CD99,protein_coding
ENSG00000002587,7.319703585017759,-0.3358177158331781,0.6833760982973767,-0.49140980591780126,0.6231366301164716,0.9991743358666302,HS3ST1,protein_coding
ENSG00000002746,33.01570915155443,0.12853162638993898,0.3954165110313829,0.325053766861389,0.7451403791556872,0.9991743358666302,HECW1,protein_coding
ENSG00000002822,2007.3386027244483,0.26945863095246114,0.13387211315394185,2.012806286568481,0.04413501230956378,0.8664246869209433,MAD1L1,protein_coding
